"","STU_ID","X1PAR1EDU","X1PAR2EDU","X1MTHID","X2MTHID"
"1",10001,5,5,1.76,0.16
"2",10002,3,2,-0.57,-0.42
"3",10003,7,-7,-0.57,-1.54
"4",10004,4,-7,0.6,-8
"5",10005,4,-7,0.56,-9
"6",10006,3,3,1.16,1.82
"7",10007,2,-7,0.6,0.12
"8",10008,5,7,0,0.7
"9",10009,2,2,0.6,0.7
"10",10010,3,2,1.76,0.16
"11",10011,3,5,1.76,0.12
"12",10012,7,7,0.63,-0.37
"13",10013,7,7,1.76,0.12
"14",10014,2,-7,-1.73,-8
"15",10015,4,4,0.03,0.7
"16",10016,3,2,0.6,0.16
"17",10018,7,4,0.6,0.16
"18",10019,-8,-8,1.76,0.12
"19",10020,2,3,0,-0.42
"20",10021,2,2,0.6,0.7
"21",10022,5,5,1.19,0.16
"22",10024,5,3,0,-0.42
"23",10025,-8,-8,0,0.7
"24",10026,7,4,0.03,-0.42
"25",10027,2,4,0.03,0.12
"26",10028,-8,-8,-8,-1.54
"27",10029,1,-7,-1.73,-8
"28",10030,5,5,-1.13,-0.96
"29",10031,-8,-8,-8,0.7
"30",10033,2,1,-0.57,-8
"31",10034,-8,-8,-1.73,-1.54
"32",10035,2,2,-8,0.7
"33",10036,3,3,0.6,-0.42
"34",10037,3,3,0.6,0.7
"35",10038,4,-7,-0.57,0.16
"36",10039,4,4,1.76,1.82
"37",10040,-8,-8,0,-8
"38",10041,2,-7,-1.73,0.7
"39",10042,-8,-8,-1.73,-8
"40",10043,-8,-8,-0.57,-0.96
"41",10044,4,7,1.76,0.7
"42",10045,2,3,0,0.12
"43",10046,-8,-8,-0.57,-0.42
"44",10047,-8,-8,-8,0.7
"45",10048,-8,-8,0.6,-0.42
"46",10049,2,5,1.76,1.82
"47",10050,2,-7,0,0.7
"48",10052,-8,-8,0,-0.46
"49",10053,4,-7,-1.13,-8
"50",10054,2,2,0.6,-0.42
"51",10055,5,5,1.76,0.7
"52",10056,2,-7,0.03,-0.42
"53",10057,-8,-8,-8,-9
"54",10058,4,4,-1.73,-1.54
"55",10059,-8,-8,-8,1.82
"56",10060,1,-7,0.56,0.7
"57",10061,-8,-8,0.6,-8
"58",10062,2,2,0.6,-0.42
"59",10063,-8,-8,-0.53,-1.54
"60",10064,2,2,1.76,0.16
"61",10065,2,2,-1.13,-1.54
"62",10066,2,2,-0.57,-1.54
"63",10067,1,-7,0.6,1.24
"64",10068,-8,-8,0.6,-0.42
"65",10069,7,4,0.6,1.82
"66",10070,4,7,-0.57,-0.42
"67",10071,-8,-8,-0.57,-0.42
"68",10072,2,2,-0.57,-1.54
"69",10074,2,2,0,-9
"70",10075,2,4,0,-1.54
"71",10076,-8,-8,-8,0.7
"72",10077,2,2,0.6,0.7
"73",10078,5,7,1.76,0.7
"74",10079,2,-7,0.03,1.28
"75",10080,4,-7,0.03,0.21
"76",10081,-8,-8,-8,-1.54
"77",10082,-8,-8,-8,-1.54
"78",10084,3,2,0.6,0.7
"79",10085,-8,-8,-1.73,0.7
"80",10086,-8,-8,0.6,1.24
"81",10087,3,-7,0.6,0.7
"82",10088,-8,-8,0.6,0.16
"83",10089,5,-7,-0.57,-1.54
"84",10090,4,4,-0.57,-0.96
"85",10091,1,1,-0.57,0.16
"86",10092,-8,-8,-0.57,-1.54
"87",10093,4,2,0,0.7
"88",10094,7,4,0.6,-8
"89",10095,2,5,1.16,1.82
"90",10096,2,2,0.63,0.16
"91",10097,3,4,0.6,0.7
"92",10099,5,4,1.76,1.28
"93",10100,1,3,-1.73,-1.54
"94",10101,-8,-8,-1.16,-8
"95",10102,4,5,1.76,-9
"96",10103,1,1,-8,0.7
"97",10104,-8,-8,0.03,-8
"98",10105,3,5,0.6,0.16
"99",10106,2,-7,0.6,0.7
"100",10107,5,4,1.16,0.7
"101",10108,2,2,0.03,0.12
"102",10109,2,4,0,-0.42
"103",10110,-8,-8,1.16,1.28
"104",10111,2,1,0.6,0.7
"105",10112,5,4,1.19,1.82
"106",10113,2,-7,-0.57,-0.42
"107",10114,1,1,0.6,-8
"108",10115,2,2,0.6,0.7
"109",10116,2,-7,0,0.12
"110",10117,4,2,-0.57,-0.42
"111",10118,2,-7,-1.73,-0.42
"112",10119,2,-7,-1.73,-9
"113",10120,2,1,-0.57,0.12
"114",10121,2,2,0.03,1.28
"115",10122,-8,-8,0.6,1.82
"116",10123,2,2,-8,0.12
"117",10124,-8,-8,0.6,-0.42
"118",10126,5,2,-1.73,-1.54
"119",10127,2,2,-0.57,0.16
"120",10128,4,4,-0.57,-0.96
"121",10129,3,3,0.6,0.7
"122",10130,2,-7,-0.57,-1.54
"123",10131,2,5,1.76,1.82
"124",10132,4,-7,-0.57,-0.42
"125",10133,2,1,-0.57,-8
"126",10135,2,-7,-0.57,-8
"127",10136,-8,-8,-1.73,-1.54
"128",10137,3,2,-1.73,1.82
"129",10138,5,2,1.16,1.24
"130",10139,-8,-8,0,0.7
"131",10140,2,-7,-0.57,-0.96
"132",10141,2,-7,-1.73,-0.42
"133",10142,-8,-8,-0.57,-1.54
"134",10143,4,3,0,0.12
"135",10145,3,2,-0.57,-0.42
"136",10146,4,-7,-1.16,-1.54
"137",10147,2,2,1.16,1.24
"138",10148,-8,-8,0.03,-8
"139",10149,2,2,-1.13,-1.54
"140",10150,3,5,0.6,-0.42
"141",10151,-8,-8,-8,-1.54
"142",10153,4,4,1.76,1.24
"143",10154,2,2,0.63,-0.37
"144",10155,1,2,1.76,0.7
"145",10156,4,7,-0.57,-0.96
"146",10158,5,4,0.6,0.7
"147",10159,2,2,-1.73,-1.54
"148",10160,2,3,-0.57,-0.42
"149",10161,2,-7,1.76,0.16
"150",10162,1,1,1.76,0.7
"151",10163,3,3,0.6,0.12
"152",10164,4,7,0.03,0.16
"153",10165,-8,-8,-8,-1.54
"154",10166,4,4,1.16,1.24
"155",10167,-8,-8,-1.16,0.21
"156",10168,4,4,0.6,1.28
"157",10169,4,2,-0.57,-1.54
"158",10170,2,4,1.76,1.82
"159",10171,4,-7,0.6,1.28
"160",10172,2,-7,0,-0.42
"161",10173,7,7,0.6,1.82
"162",10175,-8,-8,1.76,0.16
"163",10176,-8,-8,-0.57,-0.42
"164",10177,2,2,-1.73,-8
"165",10178,5,2,0.03,0.16
"166",10179,-8,-8,-8,0.7
"167",10180,4,4,-0.57,-8
"168",10181,-8,-8,-8,-0.42
"169",10182,4,4,0.03,-8
"170",10183,4,2,0,-1.54
"171",10184,2,2,0,0.16
"172",10185,-8,-8,-8,-8
"173",10186,-8,-8,-8,0.7
"174",10187,4,3,1.16,0.7
"175",10189,-8,-8,-8,-0.37
"176",10190,-8,-8,-1.13,0.16
"177",10191,2,2,-1.13,-1.54
"178",10192,2,-7,1.76,1.82
"179",10193,4,4,0,0.7
"180",10194,2,2,0.6,0.7
"181",10195,3,4,0.6,0.7
"182",10196,-8,-8,-8,0.16
"183",10197,-8,-8,-8,0.7
"184",10199,2,2,-0.6,-0.96
"185",10200,3,2,0,-8
"186",10201,-8,-8,-1.13,-1.54
"187",10202,-8,-8,-8,0.12
"188",10203,4,2,0.03,-0.42
"189",10204,3,2,-8,-1.54
"190",10205,2,-7,-1.73,-0.42
"191",10206,-8,-8,1.76,1.24
"192",10207,2,3,0.6,0.7
"193",10208,-8,-8,0.6,-1.54
"194",10209,2,2,0.03,-1.54
"195",10210,7,7,1.76,1.24
"196",10211,5,4,0.6,0.7
"197",10212,4,7,1.76,1.82
"198",10213,-8,-8,1.16,0.7
"199",10214,2,2,1.16,0.16
"200",10215,-8,-8,-0.6,-8
"201",10216,4,2,0.6,1.82
"202",10217,5,2,-8,-0.96
"203",10218,2,-7,1.19,-0.96
"204",10219,3,3,0.6,-0.42
"205",10220,2,-7,-1.73,-1.54
"206",10221,4,2,0.56,0.12
"207",10222,-8,-8,-1.73,-1.54
"208",10223,4,2,0.03,-1.54
"209",10224,4,4,0.6,0.7
"210",10226,5,3,1.16,1.82
"211",10227,4,3,0.6,0.12
"212",10228,2,2,0.03,-0.42
"213",10229,4,4,-0.57,0.7
"214",10230,3,4,-1.73,-0.42
"215",10231,-8,-8,-8,-0.96
"216",10232,2,-7,-1.73,0.16
"217",10233,4,5,-0.57,-0.42
"218",10234,4,4,1.19,1.28
"219",10235,-8,-8,-0.57,-0.42
"220",10236,2,2,-9,-8
"221",10237,-8,-8,-8,-0.42
"222",10238,4,3,0.6,0.7
"223",10239,2,2,1.16,1.82
"224",10240,2,2,0,1.24
"225",10241,5,2,-0.57,-0.42
"226",10242,-8,-8,0.6,-8
"227",10246,-8,-8,-8,-8
"228",10247,2,2,-0.57,-0.42
"229",10248,3,-7,1.76,0.7
"230",10249,4,5,0.6,0.7
"231",10250,-8,-8,1.19,1.28
"232",10251,3,2,1.76,1.82
"233",10252,4,-7,0,0.7
"234",10253,4,5,1.76,0.7
"235",10254,7,-7,0.6,-0.42
"236",10256,2,-7,0.6,0.7
"237",10257,3,4,1.76,0.7
"238",10258,2,-7,0,-0.42
"239",10259,4,2,0.6,-8
"240",10260,4,3,1.76,1.82
"241",10261,3,2,0,0.7
"242",10263,-8,-8,0.6,1.24
"243",10264,-8,-8,-8,0.16
"244",10265,2,2,-0.57,-0.96
"245",10266,5,5,1.16,0.12
"246",10267,-8,-8,0.6,0.66
"247",10268,-8,-8,-8,-0.37
"248",10270,-8,-8,-8,-1.54
"249",10271,4,7,-1.73,-8
"250",10272,4,5,-0.57,0.7
"251",10273,4,4,-1.73,0.16
"252",10274,4,4,-0.57,1.24
"253",10275,3,-7,-1.73,-0.42
"254",10277,-8,-8,-8,1.24
"255",10278,-8,-8,-1.13,-1.54
"256",10280,7,4,0.6,1.82
"257",10281,2,-7,-0.57,-1.54
"258",10282,4,2,0.6,-1.54
"259",10283,2,2,1.19,1.28
"260",10284,-8,-8,0.6,-1.54
"261",10285,2,-7,0.6,0.12
"262",10286,4,4,1.16,1.24
"263",10287,-8,-8,-1.73,-0.42
"264",10288,1,2,-9,0.7
"265",10290,4,4,1.76,1.82
"266",10291,2,-7,0.6,-8
"267",10293,-8,-8,-9,0.12
"268",10294,5,-7,1.19,0.7
"269",10297,3,7,0.03,-0.42
"270",10298,-8,-8,-8,-0.42
"271",10299,-8,-8,1.19,-0.42
"272",10300,2,2,-1.73,-1.54
"273",10301,-8,-8,-0.57,-0.42
"274",10302,2,2,-1.73,-1.54
"275",10303,-8,-8,-8,-1.54
"276",10304,3,3,-0.57,0.7
"277",10305,2,2,-0.57,-0.42
"278",10306,-8,-8,-1.73,-8
"279",10307,-8,-8,-0.57,0.12
"280",10308,-8,-8,-1.73,0.7
"281",10309,2,-7,-1.13,-1.54
"282",10310,-8,-8,-9,-8
"283",10311,4,-7,1.76,1.82
"284",10312,-8,-8,-8,0.16
"285",10314,2,2,0,0.7
"286",10315,-8,-8,-0.57,-1.54
"287",10316,4,5,0.6,1.82
"288",10317,-8,-8,1.16,0.12
"289",10318,2,3,0,0.7
"290",10320,-8,-8,-8,1.82
"291",10321,-8,-8,-8,0.7
